run,seed,final_train_error,train_accuracy,test_accuracy
1,101,53,0.8989010989010989,0.9298245614035088
2,102,47,0.9032967032967033,0.9122807017543859
3,103,52,0.9076923076923077,0.9298245614035088
4,104,53,0.8945054945054945,0.9210526315789473
5,105,50,0.9032967032967033,0.9122807017543859
6,106,44,0.8945054945054945,0.9210526315789473
7,107,50,0.8901098901098901,0.9298245614035088
8,108,48,0.8857142857142857,0.8771929824561403
9,109,46,0.9032967032967033,0.9385964912280702
10,110,55,0.8879120879120879,0.9035087719298246
