topology,run,seed,hidden_layer_sizes,activation,solver,learning_rate_init,val_accuracy,test_accuracy,test_error
topo_1,1,1054,"(8,)",relu,adam,0.01,0.9444444444444444,0.8888888888888888,0.11111111111111116
topo_1,2,1104,"(8,)",relu,adam,0.01,0.9444444444444444,0.8611111111111112,0.13888888888888884
topo_1,3,1154,"(8,)",relu,adam,0.01,0.9444444444444444,1.0,0.0
topo_1,4,1204,"(8,)",relu,adam,0.01,0.9722222222222222,0.9444444444444444,0.05555555555555558
topo_1,5,1254,"(8,)",relu,adam,0.01,0.8888888888888888,0.8611111111111112,0.13888888888888884
topo_1,6,1304,"(8,)",relu,adam,0.01,1.0,0.9444444444444444,0.05555555555555558
topo_1,7,1354,"(8,)",relu,adam,0.01,0.9166666666666666,0.8611111111111112,0.13888888888888884
topo_1,8,1404,"(8,)",relu,adam,0.01,0.9722222222222222,0.9166666666666666,0.08333333333333337
topo_1,9,1454,"(8,)",relu,adam,0.01,0.9166666666666666,0.75,0.25
topo_1,10,1504,"(8,)",relu,adam,0.01,0.9722222222222222,0.9444444444444444,0.05555555555555558
topo_2,1,1055,"(16,)",tanh,adam,0.01,0.9722222222222222,1.0,0.0
topo_2,2,1105,"(16,)",tanh,adam,0.01,0.9722222222222222,0.9444444444444444,0.05555555555555558
topo_2,3,1155,"(16,)",tanh,adam,0.01,0.9722222222222222,0.9722222222222222,0.02777777777777779
topo_2,4,1205,"(16,)",tanh,adam,0.01,0.9444444444444444,0.8611111111111112,0.13888888888888884
topo_2,5,1255,"(16,)",tanh,adam,0.01,1.0,0.9444444444444444,0.05555555555555558
topo_2,6,1305,"(16,)",tanh,adam,0.01,0.9444444444444444,0.9722222222222222,0.02777777777777779
topo_2,7,1355,"(16,)",tanh,adam,0.01,0.9722222222222222,0.9444444444444444,0.05555555555555558
topo_2,8,1405,"(16,)",tanh,adam,0.01,0.9166666666666666,0.9166666666666666,0.08333333333333337
topo_2,9,1455,"(16,)",tanh,adam,0.01,0.9444444444444444,0.9444444444444444,0.05555555555555558
topo_2,10,1505,"(16,)",tanh,adam,0.01,1.0,1.0,0.0
topo_3,1,1055,"(24,)",relu,sgd,0.02,0.8611111111111112,0.9444444444444444,0.05555555555555558
topo_3,2,1105,"(24,)",relu,sgd,0.02,1.0,0.9722222222222222,0.02777777777777779
topo_3,3,1155,"(24,)",relu,sgd,0.02,1.0,0.8888888888888888,0.11111111111111116
topo_3,4,1205,"(24,)",relu,sgd,0.02,1.0,0.9166666666666666,0.08333333333333337
topo_3,5,1255,"(24,)",relu,sgd,0.02,0.9722222222222222,0.9444444444444444,0.05555555555555558
topo_3,6,1305,"(24,)",relu,sgd,0.02,0.9444444444444444,0.9166666666666666,0.08333333333333337
topo_3,7,1355,"(24,)",relu,sgd,0.02,1.0,0.8888888888888888,0.11111111111111116
topo_3,8,1405,"(24,)",relu,sgd,0.02,1.0,0.9166666666666666,0.08333333333333337
topo_3,9,1455,"(24,)",relu,sgd,0.02,0.9444444444444444,0.9722222222222222,0.02777777777777779
topo_3,10,1505,"(24,)",relu,sgd,0.02,0.9722222222222222,0.8333333333333334,0.16666666666666663
topo_4,1,1058,"(24, 12)",tanh,adam,0.008,0.9166666666666666,0.9444444444444444,0.05555555555555558
topo_4,2,1108,"(24, 12)",tanh,adam,0.008,0.8611111111111112,0.9166666666666666,0.08333333333333337
topo_4,3,1158,"(24, 12)",tanh,adam,0.008,1.0,0.9722222222222222,0.02777777777777779
topo_4,4,1208,"(24, 12)",tanh,adam,0.008,0.8333333333333334,0.8611111111111112,0.13888888888888884
topo_4,5,1258,"(24, 12)",tanh,adam,0.008,1.0,0.9722222222222222,0.02777777777777779
topo_4,6,1308,"(24, 12)",tanh,adam,0.008,0.9444444444444444,1.0,0.0
topo_4,7,1358,"(24, 12)",tanh,adam,0.008,0.9722222222222222,0.9444444444444444,0.05555555555555558
topo_4,8,1408,"(24, 12)",tanh,adam,0.008,0.9722222222222222,0.9722222222222222,0.02777777777777779
topo_4,9,1458,"(24, 12)",tanh,adam,0.008,0.8888888888888888,0.8888888888888888,0.11111111111111116
topo_4,10,1508,"(24, 12)",tanh,adam,0.008,1.0,0.9722222222222222,0.02777777777777779
topo_5,1,1061,"(32, 16, 8)",relu,adam,0.005,0.8888888888888888,0.8333333333333334,0.16666666666666663
topo_5,2,1111,"(32, 16, 8)",relu,adam,0.005,0.9444444444444444,1.0,0.0
topo_5,3,1161,"(32, 16, 8)",relu,adam,0.005,0.8611111111111112,0.9166666666666666,0.08333333333333337
topo_5,4,1211,"(32, 16, 8)",relu,adam,0.005,1.0,0.9166666666666666,0.08333333333333337
topo_5,5,1261,"(32, 16, 8)",relu,adam,0.005,0.9722222222222222,0.9722222222222222,0.02777777777777779
topo_5,6,1311,"(32, 16, 8)",relu,adam,0.005,0.8888888888888888,0.8333333333333334,0.16666666666666663
topo_5,7,1361,"(32, 16, 8)",relu,adam,0.005,0.9444444444444444,0.9166666666666666,0.08333333333333337
topo_5,8,1411,"(32, 16, 8)",relu,adam,0.005,1.0,0.8888888888888888,0.11111111111111116
topo_5,9,1461,"(32, 16, 8)",relu,adam,0.005,0.9722222222222222,0.9444444444444444,0.05555555555555558
topo_5,10,1511,"(32, 16, 8)",relu,adam,0.005,1.0,0.9444444444444444,0.05555555555555558
